centre_lat,centre_lon,sounding_count,ch4_bias_corrected_ppb,ch4_raw_ppb,impervious_fraction,impervious_coverage,rice_fraction_single,rice_fraction_combined,rice_coverage,province_share_outside,share_anhui,share_jiangsu,share_shanghai,share_zhejiang
33.575,121.925,56,1855.52,1848.4,0.0,1.0007,,,0.0,1.0,,,,
33.575,122.175,49,1862.64,1855.49,0.0,0.9996,,,0.0,1.0,,,,
33.575,122.425,43,1866.47,1859.32,0.0,1.0007,,,0.0,1.0,,,,
33.325,114.925,306,1892.14,1885.72,0.147579,0.9986,,,0.0,1.0,,,,
33.325,115.175,317,1893.72,1887.1,0.140462,0.9996,0.0,0.0,0.0002,0.9998,0.0002,,,
33.325,115.425,325,1892.82,1886.44,0.139378,0.9996,0.0,0.0,0.5023,0.1274,0.8726,,,
33.325,115.675,339,1891.76,1885.14,0.088615,0.9986,0.0,0.0,0.585,0.0,1.0,,,
33.325,115.925,347,1893.9,1888.04,0.087254,0.9996,0.0,0.0,0.585,0.0,1.0,,,
33.325,116.175,336,1894.65,1889.17,0.085629,0.9996,0.0,0.0,0.585,0.0,1.0,,,
33.325,116.425,372,1896.78,1891.14,0.118477,0.9986,0.0,0.0,0.585,0.0,1.0,,,
33.325,116.675,341,1900.04,1893.84,0.131135,0.9996,0.000162,0.000162,0.585,0.0,1.0,,,
33.325,116.925,365,1899.21,1893.54,0.072345,0.9996,0.060451,0.060451,0.5848,0.0,1.0,,,
33.325,117.175,357,1899.01,1893.39,0.071947,0.9986,0.061739,0.061739,0.585,0.0,1.0,,,
33.325,117.425,338,1897.81,1891.8,0.180112,0.9996,0.00104,0.00104,0.585,0.0,1.0,,,
33.325,117.675,274,1895.01,1887.43,0.128246,0.9996,0.216329,0.216329,0.585,0.0,1.0,,,
33.325,117.925,150,1896.43,1887.87,0.113609,0.9986,0.25135,0.25135,0.6442,0.0,0.7399,0.2601,,
33.325,118.175,135,1892.63,1882.94,0.124568,0.9996,0.250275,0.250275,1.0,0.0,0.0064,0.9936,,
33.325,118.425,42,1888.89,1875.88,0.048571,0.9996,0.143143,0.143143,1.0,0.0,,1.0,,
33.325,118.925,53,1901.58,1886.76,0.200198,0.9996,0.22338,0.22338,1.0,0.0,,1.0,,
33.325,119.175,78,1893.09,1880.19,0.127439,0.9996,0.37705,0.37705,1.0,0.0,,1.0,,
33.325,119.425,167,1891.14,1877.29,0.16505,0.9986,0.373903,0.373903,1.0,0.0,,1.0,,
33.325,119.675,183,1890.89,1873.51,0.076853,0.9996,0.30188,0.30188,1.0,0.0,,1.0,,
33.325,119.925,182,1893.31,1880.62,0.101895,0.9986,0.418234,0.418234,1.0,0.0,,1.0,,
33.325,120.175,154,1890.34,1881.97,0.390023,0.9996,0.127255,0.127255,1.0,0.0,,1.0,,
33.325,120.425,166,1892.85,1883.37,0.244633,0.9996,0.154545,0.154545,1.0,0.0,,1.0,,
33.325,120.675,21,1905.14,1891.72,0.084891,0.9986,0.26413,0.26413,0.5589,0.4411,,0.5589,,
33.325,121.425,9,1856.04,1848.92,0.0,0.9986,,,0.0,1.0,,,,
33.325,121.675,28,1858.42,1851.29,0.0,0.9996,,,0.0,1.0,,,,
33.325,121.925,43,1854.59,1847.47,0.0,0.9996,,,0.0,1.0,,,,
33.325,122.175,64,1861.1,1853.96,0.0,0.9986,,,0.0,1.0,,,,
33.325,122.425,49,1860.34,1853.21,0.0,0.9996,,,0.0,1.0,,,,
33.075,114.925,337,1894.81,1888.74,0.138841,0.9996,,,0.0,0.6056,0.3944,,,
33.075,115.175,324,1894.37,1888.53,0.137368,1.0007,0.0,0.0,0.104,0.3757,0.6243,,,
33.075,115.425,352,1893.93,1887.63,0.101629,1.0007,0.0,0.0,1.0,0.0,1.0,,,
33.075,115.675,330,1894.66,1888.71,0.160101,0.9996,0.0,0.0,1.0,0.0,1.0,,,
33.075,115.925,329,1895.6,1890.52,0.119109,1.0007,0.0,0.0,1.0,0.0,1.0,,,
33.075,116.175,320,1896.94,1891.83,0.12826,1.0007,0.0,0.0,1.0,0.0,1.0,,,
33.075,116.425,348,1897.06,1891.08,0.096144,0.9996,0.034193,0.034193,1.0,0.0,1.0,,,
33.075,116.675,374,1901.15,1894.57,0.07869,1.0007,0.030238,0.030238,1.0,0.0,1.0,,,
33.075,116.925,198,1895.02,1884.68,0.066543,1.0007,0.347315,0.347315,0.9996,0.0,1.0,,,
33.075,117.175,205,1897.62,1889.89,0.191027,0.9996,0.215566,0.215566,1.0,0.0,1.0,,,
33.075,117.425,236,1897.98,1889.5,0.231335,1.0007,0.155744,0.155744,1.0,0.0,1.0,,,
33.075,117.675,139,1901.54,1888.93,0.101745,1.0007,0.395555,0.395555,1.0,0.0,1.0,,,
33.075,117.925,61,1904.62,1893.98,0.125597,0.9996,0.248349,0.248349,1.0,0.0,0.9618,0.0382,,
33.075,118.175,67,1896.38,1884.75,0.095299,1.0007,0.307991,0.307991,1.0001,0.0,0.6893,0.3107,,
33.075,118.425,57,1891.62,1876.77,0.114363,1.0007,0.211716,0.211716,1.0,0.0,,1.0,,
33.075,118.675,49,1886.21,1876.37,0.095797,0.9996,0.342126,0.342126,1.0,0.0,,1.0,,
33.075,118.925,90,1893.26,1880.0,0.138792,1.0007,0.37261,0.37261,1.0,0.0,0.0383,0.9617,,
33.075,119.175,64,1891.44,1870.47,0.093179,1.0007,0.376053,0.376053,1.0,0.0,,1.0,,
33.075,119.425,116,1890.11,1875.77,0.104162,0.9996,0.294339,0.294339,1.0,0.0,,1.0,,
33.075,119.675,152,1889.47,1872.51,0.066483,1.0007,0.312315,0.312315,1.0,0.0,,1.0,,
33.075,119.925,139,1892.77,1876.68,0.103443,0.9996,0.298465,0.298465,1.0,0.0,,1.0,,
33.075,120.175,209,1891.72,1877.45,0.129153,1.0007,0.211092,0.211092,1.0,0.0,,1.0,,
33.075,120.425,190,1889.97,1880.01,0.200711,1.0007,0.127983,0.127983,1.0,0.0,,1.0,,
