centre_lat,centre_lon,sounding_count,in_box_prefilter,in_box_retrieved,months_observed,ch4_bias_corrected_ppb,within_cell_sd_ppb,weight_by_count,weight_representativeness
32.5750,121.9250,39,2086,51,4,1858.17,12.084,39,0.00596686
32.5750,122.1750,47,2067,54,3,1854.41,13.438,47,0.00503879
32.5750,122.4250,26,2094,38,4,1856.58,7.371,26,0.01153620
32.3250,114.9250,305,2060,456,8,1896.96,20.056,305,0.00246913
32.3250,115.1750,284,2020,465,8,1893.59,21.475,284,0.00215445
32.3250,115.4250,298,2037,479,8,1895.44,20.359,298,0.00239637
32.3250,115.6750,296,2068,482,8,1895.16,20.365,296,0.00239468
32.3250,115.9250,236,2019,468,8,1896.63,27.358,236,0.00132972
32.3250,116.1750,54,2086,304,7,1898.59,34.191,54,0.00084418
32.3250,116.4250,40,2068,285,7,1901.23,31.354,40,0.00099589
32.3250,116.6750,86,2036,397,8,1900.23,31.952,86,0.00097022
32.3250,116.9250,15,2017,226,6,1927.21,40.067,15,0.00060190
32.3250,117.1750,221,2019,455,8,1900.04,28.596,221,0.00121725
32.3250,117.4250,264,2118,499,8,1898.82,23.983,264,0.00172899
32.3250,117.6750,230,2040,458,8,1891.91,18.674,230,0.00283786
32.3250,117.9250,268,2071,409,8,1890.03,20.234,268,0.00242401
32.3250,118.1750,243,2048,421,8,1890.19,19.777,243,0.00253438
32.3250,118.4250,187,2015,402,8,1893.55,18.965,187,0.00274591
32.3250,118.6750,259,2041,415,8,1895.30,21.033,259,0.00224406
32.3250,118.9250,227,2081,417,8,1894.02,21.663,227,0.00211421
32.3250,119.1750,153,2067,359,8,1891.89,21.719,153,0.00209547
32.3250,119.4250,133,2072,344,7,1889.61,18.102,133,0.00299389
32.3250,119.6750,84,2061,292,5,1893.26,17.326,84,0.00322366
32.3250,119.9250,165,2038,342,8,1891.64,17.559,165,0.00319077
32.3250,120.1750,233,2042,392,8,1892.26,20.826,233,0.00228658
32.3250,120.4250,174,2063,325,8,1893.77,21.296,174,0.00218175
32.3250,120.6750,148,2041,293,8,1893.11,22.999,148,0.00187044
32.3250,120.9250,131,2077,289,8,1894.70,26.510,131,0.00141001
32.3250,121.1750,87,2101,219,6,1894.80,18.322,87,0.00289544
32.3250,121.4250,4,2035,77,3,1898.69,16.094,4,0.00213105
32.3250,121.6750,11,2034,29,3,1856.33,4.326,11,0.01050756
32.3250,121.9250,34,2029,48,3,1856.21,15.471,34,0.00378684
32.3250,122.1750,43,2109,63,3,1859.99,18.896,43,0.00265530
32.3250,122.4250,26,2082,44,5,1852.73,9.421,26,0.00825701
32.0750,114.9250,257,2067,421,8,1895.01,19.581,257,0.00258598
32.0750,115.1750,303,2036,449,8,1895.11,19.790,303,0.00253532
32.0750,115.4250,322,2020,470,8,1893.84,19.127,322,0.00271397
32.0750,115.6750,296,2024,443,8,1893.15,17.311,296,0.00330562
32.0750,115.9250,295,2112,490,8,1893.19,21.776,295,0.00209617
32.0750,116.1750,258,2050,484,8,1892.53,24.774,258,0.00162067
32.0750,116.4250,227,2076,443,8,1894.08,21.587,227,0.00212899
