centre_lat,centre_lon,impervious_fraction,impervious_coverage
30.575,121.425,0.000639,0.9996
30.575,121.675,0.000154,1.0007
30.575,121.925,0.005609,1.0007
30.575,122.175,0.025529,0.9996
30.575,122.425,0.009698,1.0007
30.325,114.925,0.211913,0.9986
30.325,115.175,0.0801,0.9996
30.325,115.425,0.047223,0.9996
30.325,115.675,0.01773,0.9986
30.325,115.925,0.006159,0.9996
30.325,116.175,0.023504,0.9996
30.325,116.425,0.039322,0.9986
30.325,116.675,0.049201,0.9996
30.325,116.925,0.029297,0.9996
30.325,117.175,0.019254,0.9986
30.325,117.425,0.012379,0.9996
30.325,117.675,0.005207,0.9996
30.325,117.925,0.007602,0.9986
30.325,118.175,0.01669,0.9996
30.325,118.425,0.014965,0.9996
30.325,118.675,0.005977,0.9986
30.325,118.925,0.004155,0.9996
30.325,119.175,0.002539,0.9996
30.325,119.425,0.006574,0.9986
30.325,119.675,0.062991,0.9996
30.325,119.925,0.171422,0.9986
30.325,120.175,0.566228,0.9996
30.325,120.425,0.414582,0.9996
30.325,120.675,0.117397,0.9986
30.325,120.925,0.058714,0.9996
30.325,121.175,0.197612,0.9996
30.325,121.425,0.097287,0.9986
30.325,121.675,4.1e-05,0.9996
30.325,121.925,0.010743,0.9996
30.325,122.175,0.063501,0.9986
30.325,122.425,0.013921,0.9996
30.075,114.925,0.178539,0.9996
30.075,115.175,0.083567,1.0007
30.075,115.425,0.052148,1.0007
30.075,115.675,0.040818,0.9996
30.075,115.925,0.065805,1.0007
30.075,116.175,0.038284,1.0007
30.075,116.425,0.009149,0.9996
30.075,116.675,0.055746,1.0007
30.075,116.925,0.029265,1.0007
30.075,117.175,0.00572,0.9996
30.075,117.425,0.003259,1.0007
30.075,117.675,0.002468,1.0007
30.075,117.925,0.003085,0.9996
30.075,118.425,0.012329,1.0007
30.075,118.675,0.027971,0.9996
30.075,119.175,0.014301,1.0007
30.075,119.425,0.016166,0.9996
30.075,119.675,0.036481,1.0007
30.075,119.925,0.146057,0.9996
30.075,120.175,0.332122,1.0007
30.075,120.425,0.376045,1.0007
30.075,120.675,0.299671,0.9996
30.075,120.925,0.251141,1.0007
30.075,121.175,0.355194,1.0007
30.075,121.425,0.196019,0.9996
30.075,121.675,0.159911,1.0007
30.075,122.425,0.015776,1.0007
29.825,114.925,0.023044,0.9996
29.825,115.175,0.063793,1.0007
29.825,115.425,0.071524,1.0007
29.825,115.675,0.105586,0.9996
29.825,115.925,0.144878,1.0007
29.825,116.425,0.052001,0.9996
29.825,116.675,0.023371,1.0007
