granule,acquired,pixel_size,soundings_read,soundings_valid_global,in_box_total,in_box_retrieved,in_box_passed,no_retrieval_share,threshold_rejected_share
S5P_RPRO_L2__CH4____20180619T044753_20180619T062923_03530_03_020400_20221110T201518.nc,2018-06-19T04:47:53,7.0x7.0 km2,697675,28215,8118,124,18,0.984725,0.854839
S5P_RPRO_L2__CH4____20180619T062923_20180619T081053_03531_03_020400_20221110T201520.nc,2018-06-19T06:29:23,7.0x7.0 km2,697890,9690,0,0,0,,
S5P_RPRO_L2__CH4____20180620T024722_20180620T042851_03543_03_020400_20221110T204756.nc,2018-06-20T02:47:22,7.0x7.0 km2,697675,8453,0,0,0,,
S5P_RPRO_L2__CH4____20180620T042851_20180620T061021_03544_03_020400_20221110T204759.nc,2018-06-20T04:28:51,7.0x7.0 km2,697675,43463,11865,26,3,0.997809,0.884615
S5P_RPRO_L2__CH4____20180620T061021_20180620T075151_03545_03_020400_20221110T204801.nc,2018-06-20T06:10:21,7.0x7.0 km2,697890,5681,0,0,0,,
S5P_RPRO_L2__CH4____20180621T040950_20180621T055120_03558_03_020400_20221110T212043.nc,2018-06-21T04:09:50,7.0x7.0 km2,697675,57283,10891,371,38,0.965935,0.897574
S5P_RPRO_L2__CH4____20180621T055120_20180621T073250_03559_03_020400_20221110T213133.nc,2018-06-21T05:51:20,7.0x7.0 km2,624790,8644,0,0,0,,
S5P_RPRO_L2__CH4____20180622T035049_20180622T053218_03572_03_020400_20221110T221515.nc,2018-06-22T03:50:49,7.0x7.0 km2,697890,49734,6687,126,10,0.981157,0.920635
S5P_RPRO_L2__CH4____20180622T053218_20180622T071348_03573_03_020400_20221110T221517.nc,2018-06-22T05:32:18,7.0x7.0 km2,697890,13366,189,0,0,1.000000,
S5P_RPRO_L2__CH4____20180623T033147_20180623T051317_03586_03_020400_20221110T224740.nc,2018-06-23T03:31:47,7.0x7.0 km2,697675,31157,3143,320,170,0.898186,0.468750
S5P_RPRO_L2__CH4____20180623T051317_20180623T065447_03587_03_020400_20221110T224741.nc,2018-06-23T05:13:17,7.0x7.0 km2,697675,24888,2738,65,8,0.976260,0.876923
S5P_RPRO_L2__CH4____20180624T031245_20180624T045415_03600_03_020400_20221110T234204.nc,2018-06-24T03:12:45,7.0x7.0 km2,697890,19342,562,0,0,1.000000,
S5P_RPRO_L2__CH4____20180624T045415_20180624T063545_03601_03_020400_20221110T234206.nc,2018-06-24T04:54:15,7.0x7.0 km2,697675,31170,6675,979,499,0.853333,0.490296
S5P_RPRO_L2__CH4____20180624T063545_20180624T081715_03602_03_020400_20221110T234207.nc,2018-06-24T06:35:45,7.0x7.0 km2,697675,6625,0,0,0,,
S5P_RPRO_L2__CH4____20180625T025343_20180625T043513_03614_03_020400_20221111T001414.nc,2018-06-25T02:53:43,7.0x7.0 km2,697675,8666,0,0,0,,
S5P_RPRO_L2__CH4____20180625T043513_20180625T061643_03615_03_020400_20221111T001416.nc,2018-06-25T04:35:13,7.0x7.0 km2,697675,37167,10934,493,32,0.954911,0.935091
S5P_RPRO_L2__CH4____20180625T061643_20180625T075813_03616_03_020400_20221111T001418.nc,2018-06-25T06:16:43,7.0x7.0 km2,697675,6944,0,0,0,,
S5P_RPRO_L2__CH4____20180626T041611_20180626T055741_03629_03_020400_20221111T090612.nc,2018-06-26T04:16:11,7.0x7.0 km2,624575,39059,11837,365,129,0.969164,0.646575
S5P_RPRO_L2__CH4____20180626T055741_20180626T073911_03630_03_020400_20221111T090613.nc,2018-06-26T05:57:41,7.0x7.0 km2,697675,12874,0,0,0,,
S5P_RPRO_L2__CH4____20180627T035709_20180627T053839_03643_03_020400_20221111T090636.nc,2018-06-27T03:57:09,7.0x7.0 km2,624575,43610,8100,284,26,0.964938,0.908451
S5P_RPRO_L2__CH4____20180627T053839_20180627T072009_03644_03_020400_20221111T090639.nc,2018-06-27T05:38:39,7.0x7.0 km2,697675,22499,0,0,0,,
S5P_RPRO_L2__CH4____20180628T033807_20180628T051937_03657_03_020400_20221111T091639.nc,2018-06-28T03:38:07,7.0x7.0 km2,697675,28081,4284,126,49,0.970588,0.611111
S5P_RPRO_L2__CH4____20180628T051937_20180628T070107_03658_03_020400_20221111T091642.nc,2018-06-28T05:19:37,7.0x7.0 km2,624575,30923,1692,75,33,0.955674,0.560000
S5P_RPRO_L2__CH4____20180629T031905_20180629T050035_03671_03_020400_20221111T100522.nc,2018-06-29T03:19:05,7.0x7.0 km2,697675,12756,1255,0,0,1.000000,
S5P_RPRO_L2__CH4____20180629T050035_20180629T064205_03672_03_020400_20221111T100524.nc,2018-06-29T05:00:35,7.0x7.0 km2,697675,25973,5397,10,0,0.998147,1.000000
S5P_RPRO_L2__CH4____20180629T064205_20180629T082334_03673_03_020400_20221111T100526.nc,2018-06-29T06:42:05,7.0x7.0 km2,624790,7972,0,0,0,,
S5P_RPRO_L2__CH4____20180630T030003_20180630T044132_03685_03_020400_20221111T100546.nc,2018-06-30T03:00:03,7.0x7.0 km2,697890,12650,5,0,0,1.000000,
S5P_RPRO_L2__CH4____20180630T044132_20180630T062302_03686_03_020400_20221111T100548.nc,2018-06-30T04:41:32,7.0x7.0 km2,697675,35855,9596,26,1,0.997291,0.961538
S5P_RPRO_L2__CH4____20180630T062302_20180630T080432_03687_03_020400_20221111T100550.nc,2018-06-30T06:23:02,7.0x7.0 km2,697675,14086,0,0,0,,
S5P_RPRO_L2__CH4____20180701T042230_20180701T060400_03700_03_020400_20221111T101618.nc,2018-07-01T04:22:30,7.0x7.0 km2,697890,49003,12187,183,14,0.984984,0.923497
S5P_RPRO_L2__CH4____20180701T060400_20180701T074529_03701_03_020400_20221111T102645.nc,2018-07-01T06:04:00,7.0x7.0 km2,697890,9207,0,0,0,,
S5P_RPRO_L2__CH4____20180702T040327_20180702T054457_03714_03_020400_20221111T110837.nc,2018-07-02T04:03:27,7.0x7.0 km2,697675,49624,9588,54,1,0.994368,0.981481
S5P_RPRO_L2__CH4____20180702T054457_20180702T072627_03715_03_020400_20221111T110838.nc,2018-07-02T05:44:57,7.0x7.0 km2,697890,6175,0,0,0,,
