centre_lat,centre_lon,sounding_count,ch4_deseasonalised_ppb,mean_day_of_year,day_of_year_sd,poorly_identified
32.0750,120.1750,146,1895.4842,293.422,62.425,0
32.0750,120.4250,60,1895.6961,282.136,70.937,0
32.0750,120.6750,37,1896.3724,280.625,68.454,0
32.0750,120.9250,67,1896.8945,286.166,76.743,0
32.0750,121.1750,114,1894.7170,272.707,80.651,0
32.0750,121.4250,65,1891.4654,259.260,85.759,0
32.0750,121.6750,7,1893.3105,237.599,79.435,0
32.0750,121.9250,20,1857.4180,183.767,45.287,0
32.0750,122.1750,34,1850.5948,193.461,45.161,0
32.0750,122.4250,24,1842.2991,202.874,48.677,0
31.8250,114.9250,250,1892.4799,276.950,60.853,0
31.8250,115.1750,282,1890.8992,268.734,65.686,0
31.8250,115.4250,232,1891.4798,278.454,64.364,0
31.8250,115.6750,134,1890.3189,269.406,69.420,0
31.8250,115.9250,226,1894.0427,276.584,71.218,0
31.8250,116.1750,312,1891.5549,271.276,70.017,0
31.8250,116.4250,261,1894.9351,285.484,57.767,0
31.8250,116.6750,273,1897.9800,270.335,69.952,0
31.8250,116.9250,307,1896.9746,270.869,70.286,0
31.8250,117.1750,162,1899.8046,287.890,50.603,0
31.8250,117.4250,132,1899.4115,282.244,61.786,0
31.8250,117.6750,230,1897.0581,282.924,67.166,0
31.8250,117.9250,194,1895.9837,270.094,68.486,0
31.8250,118.1750,224,1896.3676,282.679,67.205,0
31.8250,118.4250,132,1896.3031,290.062,53.046,0
31.8250,118.6750,167,1896.4287,289.484,54.758,0
31.8250,118.9250,173,1892.7085,281.649,60.177,0
31.8250,119.1750,228,1894.6166,279.323,63.270,0
31.8250,119.4250,282,1892.2311,267.621,68.538,0
31.8250,119.6750,186,1894.3507,281.264,66.101,0
31.8250,119.9250,66,1896.7927,281.337,70.907,0
31.8250,120.1750,122,1896.9215,294.867,68.587,0
31.8250,120.4250,121,1896.2245,281.153,76.447,0
31.8250,120.6750,97,1896.6963,294.828,71.419,0
31.8250,120.9250,10,1888.5986,282.772,59.354,0
31.8250,121.1750,16,1891.9841,281.044,69.839,0
31.8250,121.4250,19,1886.2349,275.536,61.492,0
31.8250,121.6750,39,1891.0807,250.477,85.235,0
31.8250,121.9250,6,1864.9059,205.169,75.392,0
31.8250,122.1750,20,1853.6824,196.067,39.265,0
31.8250,122.4250,23,1834.4590,211.775,28.782,0
31.5750,114.9250,87,1886.8538,278.596,54.684,0
31.5750,115.1750,33,1882.4805,302.728,48.922,0
31.5750,115.4250,21,1876.9195,284.708,61.105,0
31.5750,115.6750,54,1877.6108,268.459,71.121,0
31.5750,115.9250,42,1878.3628,283.224,65.457,0
31.5750,116.1750,156,1890.7018,278.826,68.633,0
31.5750,116.4250,267,1892.4287,289.118,59.640,0
31.5750,116.6750,314,1895.7193,275.487,69.147,0
31.5750,116.9250,305,1895.7420,274.378,69.378,0
31.5750,117.1750,142,1897.3347,253.904,69.994,0
31.5750,117.4250,18,1887.4821,248.958,71.384,0
31.5750,117.6750,5,1904.5154,192.386,77.366,0
31.5750,117.9250,126,1895.8980,273.255,72.656,0
31.5750,118.1750,223,1895.6999,282.136,66.464,0
31.5750,118.4250,115,1894.7001,300.269,44.570,0
31.5750,118.6750,202,1894.0550,269.778,69.998,0
31.5750,118.9250,78,1892.1603,285.586,66.466,0
31.5750,119.1750,241,1895.7901,281.816,65.929,0
31.5750,119.4250,134,1895.9682,282.927,71.242,0
31.5750,119.6750,42,1889.0975,275.914,65.086,0
31.5750,119.9250,32,1907.0236,278.111,76.089,0
31.5750,120.1750,50,1899.1915,275.552,80.384,0
31.5750,120.4250,66,1895.9154,280.990,81.872,0
31.5750,120.6750,18,1891.1040,281.164,66.320,0
31.5750,120.9250,71,1894.0193,263.577,84.682,0
31.5750,121.1750,58,1900.7744,282.772,76.228,0
31.5750,121.4250,9,1894.2636,304.717,33.591,0
31.5750,121.6750,1,1869.5256,313.135,0.000,1
31.5750,121.9250,0,,,,
31.5750,122.1750,1,1858.0408,194.164,0.000,1
31.5750,122.4250,13,1834.8763,219.397,10.614,1
31.3250,114.9250,228,1885.5994,287.723,58.700,0
31.3250,115.1750,74,1888.4577,289.128,59.376,0
31.3250,115.4250,0,,,,
31.3250,115.6750,1,1903.6946,274.160,0.000,1
31.3250,115.9250,0,,,,
31.3250,116.1750,27,1889.0034,275.879,68.042,0
31.3250,116.4250,82,1888.8186,284.143,63.250,0
31.3250,116.6750,164,1892.3624,288.658,62.970,0
31.3250,116.9250,203,1894.1882,274.542,71.866,0
31.3250,117.1750,233,1894.5491,270.411,74.698,0
31.3250,117.4250,209,1894.1223,268.172,73.081,0
31.3250,117.6750,220,1896.3157,274.362,69.790,0
31.3250,117.9250,201,1895.8015,278.290,64.793,0
31.3250,118.1750,128,1894.7994,283.894,54.521,0
31.3250,118.4250,159,1897.1896,291.859,52.229,0
31.3250,118.6750,247,1893.3693,258.378,70.051,0
31.3250,118.9250,43,1891.9439,270.501,68.049,0
31.3250,119.1750,208,1892.2994,271.731,76.948,0
31.3250,119.4250,173,1893.8865,292.826,73.972,0
31.3250,119.6750,93,1894.4629,275.861,68.063,0
31.3250,119.9250,15,1892.7305,287.372,62.157,0
31.3250,120.1750,2,1929.6814,247.166,0.000,1
31.3250,120.4250,14,1901.5611,276.032,67.526,0
31.3250,120.6750,24,1896.6374,287.668,40.076,0
31.3250,120.9250,31,1900.1950,258.687,87.922,0
31.3250,121.1750,97,1899.9349,275.630,80.488,0
31.3250,121.4250,49,1901.3667,266.084,80.188,0
31.3250,121.6750,6,1884.1311,308.660,26.945,0
