quantity,field,window,predictor,cell_set,value,n_cells,pearson,spearman,slope_ppb_per_unit,effective_n,p_nominal,p_corrected,note
raw flooded_minus_off vs impervious_fraction,raw,flooded_minus_off,impervious_fraction,flooded_minus_off pair >= 1,-0.0088,664,-0.008799430755358464,-0.09342044802897502,-1.019023510823724,58.98478788616306,0.8209505022963688,0.9472696309651208,Pearson of the within-cell difference
raw flooded_minus_off vs rice_fraction_single,raw,flooded_minus_off,rice_fraction_single,flooded_minus_off pair >= 1,-0.0333,449,-0.03331057324269657,-0.0010963516809841974,-3.6304634935870808,53.89366918457565,0.4813915182951763,0.8112036986718091,Pearson of the within-cell difference
raw flooded_minus_off vs rice_fraction_combined,raw,flooded_minus_off,rice_fraction_combined,flooded_minus_off pair >= 1,-0.0212,449,-0.021188811552742614,0.00616131084950684,-2.2681812728548896,57.45705307236197,0.6543108340188584,0.8751660530008011,Pearson of the within-cell difference
raw growing_minus_off vs impervious_fraction,raw,growing_minus_off,impervious_fraction,every window >= 15,+0.0629,366,0.06286787115954029,-0.0197527797137649,6.248691652449536,55.106118753811685,0.23021462039467522,0.6480709576786311,Pearson of the within-cell difference
raw growing_minus_off vs rice_fraction_single,raw,growing_minus_off,rice_fraction_single,every window >= 15,+0.0267,262,0.026724017058436824,-0.002699329521376949,2.1291255063052077,41.37033779323628,0.6667777088407234,0.867645066896445,Pearson of the within-cell difference
raw growing_minus_off vs rice_fraction_combined,raw,growing_minus_off,rice_fraction_combined,every window >= 15,+0.0358,262,0.035757775433042295,0.0038683383760185048,2.784896112605908,42.31167459673803,0.5644752836055982,0.8214345705107912,Pearson of the within-cell difference
raw growing_minus_off vs impervious_fraction,raw,growing_minus_off,impervious_fraction,growing_minus_off pair >= 15,+0.0650,414,0.06497212290673654,-0.04611950275044806,6.51235688161513,49.90012283967814,0.18704061020305746,0.6542940270868528,Pearson of the within-cell difference
raw growing_minus_off vs rice_fraction_single,raw,growing_minus_off,rice_fraction_single,growing_minus_off pair >= 15,-0.0578,285,-0.05780764687489445,-0.08248430590906497,-4.813292761171619,50.47278880591026,0.3308367341493187,0.6886143894885915,Pearson of the within-cell difference
raw growing_minus_off vs rice_fraction_combined,raw,growing_minus_off,rice_fraction_combined,growing_minus_off pair >= 15,-0.0454,285,-0.04538312152154726,-0.07220629629821623,-3.7036841173129202,55.152958809357315,0.4453551860354781,0.7417868003701915,Pearson of the within-cell difference
raw growing_minus_off vs impervious_fraction,raw,growing_minus_off,impervious_fraction,growing_minus_off pair >= 10,-0.0635,489,-0.06347078177099988,-0.15142742201979859,-5.99983623220088,39.145768631614516,0.16110271328302347,0.7005102919013418,Pearson of the within-cell difference
raw growing_minus_off vs rice_fraction_single,raw,growing_minus_off,rice_fraction_single,growing_minus_off pair >= 10,-0.0869,330,-0.08694215847440098,-0.09615498597950227,-8.085659774871672,59.47406300199311,0.11493916210119066,0.510853515573773,Pearson of the within-cell difference
raw growing_minus_off vs rice_fraction_combined,raw,growing_minus_off,rice_fraction_combined,growing_minus_off pair >= 10,-0.0664,330,-0.06644232864636085,-0.07792992505983443,-6.052323190648233,70.92403891700968,0.22869183186284192,0.5821690100115238,Pearson of the within-cell difference
raw growing_minus_off vs impervious_fraction,raw,growing_minus_off,impervious_fraction,growing_minus_off pair >= 5,-0.0663,571,-0.06629388279308664,-0.17040254427110355,-6.351433705655018,34.07187024472764,0.11355777393006997,0.7091987479535913,Pearson of the within-cell difference
raw growing_minus_off vs rice_fraction_single,raw,growing_minus_off,rice_fraction_single,growing_minus_off pair >= 5,-0.1864,385,-0.1864495441299061,-0.18128932272390824,-19.139784674440335,57.55264918571491,0.00023431742444460885,0.1628016034502725,Pearson of the within-cell difference
raw growing_minus_off vs rice_fraction_combined,raw,growing_minus_off,rice_fraction_combined,growing_minus_off pair >= 5,-0.1641,385,-0.16413656197581367,-0.15886569712670748,-16.523417719139893,74.17675694742819,0.001228983461915882,0.16177052191154312,Pearson of the within-cell difference
raw growing_minus_off vs impervious_fraction,raw,growing_minus_off,impervious_fraction,growing_minus_off pair >= 1,-0.0671,700,-0.0671137042374792,-0.18330971520933131,-8.455706096870951,50.51668410056776,0.07598224499261945,0.641504219343648,Pearson of the within-cell difference
raw growing_minus_off vs rice_fraction_single,raw,growing_minus_off,rice_fraction_single,growing_minus_off pair >= 1,-0.1933,467,-0.19333816056221964,-0.2108339348232374,-24.481483844546794,46.10176865854004,2.5920585555691123e-05,0.19743729560547765,Pearson of the within-cell difference
raw growing_minus_off vs rice_fraction_combined,raw,growing_minus_off,rice_fraction_combined,growing_minus_off pair >= 1,-0.1775,467,-0.1775297036203224,-0.19413914364332982,-22.10005696489674,54.936729531789226,0.00011485932292847376,0.19500949903868345,Pearson of the within-cell difference
