variant,model,scheme,weighting,n,held_out_r2,delta_vs_committed,delta_vs_matched,comparison,soundings,basis
first-order destriping,"OLS wind (u, v, speed)",leave-one-province-out,unweighted,926,0.6331,-0.0001,-0.0001,same cells as committed,110920,filter
first-order destriping,"OLS wind (u, v, speed)",leave-one-province-out,by sounding count,926,0.3402,+0.0292,+0.0292,same cells as committed,110920,filter
first-order destriping,"OLS wind (u, v, speed)",spatial blocks,unweighted,926,0.6554,+0.0027,+0.0027,same cells as committed,110920,filter
first-order destriping,"OLS wind (u, v, speed)",spatial blocks,by sounding count,926,0.5670,+0.0043,+0.0043,same cells as committed,110920,filter
representativeness weighting,constant (global mean),leave-one-province-out,unweighted,905,-0.1904,-0.0180,+0.0000,matched reference on the 905 weighted cells,110920,weighting
representativeness weighting,constant (global mean),leave-one-province-out,by sounding count,905,-0.3967,-0.3114,-0.3113,matched reference on the 905 weighted cells,110920,weighting
representativeness weighting,constant (global mean),spatial blocks,unweighted,905,-0.0083,+0.0001,+0.0000,matched reference on the 905 weighted cells,110920,weighting
representativeness weighting,constant (global mean),spatial blocks,by sounding count,905,-0.0139,-0.0108,-0.0108,matched reference on the 905 weighted cells,110920,weighting
representativeness weighting,spatial null (queen neighbour mean),leave-one-province-out,unweighted,905,-0.1114,-0.0202,+0.0000,matched reference on the 905 weighted cells,110920,weighting
representativeness weighting,spatial null (queen neighbour mean),leave-one-province-out,by sounding count,905,-0.2340,-0.2368,-0.2396,matched reference on the 905 weighted cells,110920,weighting
representativeness weighting,spatial null (queen neighbour mean),spatial blocks,unweighted,905,0.3631,+0.0307,+0.0000,matched reference on the 905 weighted cells,110920,weighting
representativeness weighting,spatial null (queen neighbour mean),spatial blocks,by sounding count,905,0.5399,+0.0262,+0.0257,matched reference on the 905 weighted cells,110920,weighting
representativeness weighting,OLS impervious_fraction,leave-one-province-out,unweighted,905,-0.1454,-0.0280,+0.0000,matched reference on the 905 weighted cells,110920,weighting
representativeness weighting,OLS impervious_fraction,leave-one-province-out,by sounding count,905,-0.2757,-0.1137,-0.1133,matched reference on the 905 weighted cells,110920,weighting
representativeness weighting,OLS impervious_fraction,spatial blocks,unweighted,905,0.0867,+0.0020,+0.0000,matched reference on the 905 weighted cells,110920,weighting
representativeness weighting,OLS impervious_fraction,spatial blocks,by sounding count,905,0.1429,+0.1185,+0.1185,matched reference on the 905 weighted cells,110920,weighting
representativeness weighting,OLS rice_fraction_single,leave-one-province-out,unweighted,515,-0.1185,-0.0511,+0.0000,matched reference on the 905 weighted cells,110920,weighting
representativeness weighting,OLS rice_fraction_single,leave-one-province-out,by sounding count,515,-0.1140,+0.3000,+0.3045,matched reference on the 905 weighted cells,110920,weighting
representativeness weighting,OLS rice_fraction_single,spatial blocks,unweighted,515,-0.0497,-0.0183,+0.0000,matched reference on the 905 weighted cells,110920,weighting
representativeness weighting,OLS rice_fraction_single,spatial blocks,by sounding count,515,-0.0440,+0.0485,+0.0041,matched reference on the 905 weighted cells,110920,weighting
