predictors,model,scheme,weighting,n,in_sample_rmse_ppb,in_sample_r2,held_out_rmse_ppb,held_out_r2,beats_spatial_null
gisa+nesdc,constant (global mean),spatial blocks,by sounding count,927,7.7898,0.0,7.8017,-0.003,no
gisa+nesdc,constant (per province),leave-one-province-out,unweighted,927,13.8694,0.1295,16.0732,-0.1691,no
gisa+nesdc,constant (per province),leave-one-province-out,by sounding count,927,7.5029,0.0723,8.1241,-0.0877,no
gisa+nesdc,constant (per province),spatial blocks,unweighted,927,13.8694,0.1295,14.1014,0.1001,no
gisa+nesdc,constant (per province),spatial blocks,by sounding count,927,7.5029,0.0723,7.562,0.0576,no
gisa+nesdc,spatial null (queen neighbour mean),leave-one-province-out,unweighted,927,8.3568,0.684,15.5183,-0.0898,no
gisa+nesdc,spatial null (queen neighbour mean),leave-one-province-out,by sounding count,927,2.677,0.8819,7.7975,-0.002,no
gisa+nesdc,spatial null (queen neighbour mean),spatial blocks,unweighted,927,8.3568,0.684,12.024,0.3457,no
gisa+nesdc,spatial null (queen neighbour mean),spatial blocks,by sounding count,927,2.677,0.8819,5.4553,0.5096,no
gisa+nesdc,OLS impervious_fraction,leave-one-province-out,unweighted,927,13.8508,0.1318,15.5333,-0.0919,no
gisa+nesdc,OLS impervious_fraction,leave-one-province-out,by sounding count,927,7.5386,0.0635,8.2254,-0.115,no
gisa+nesdc,OLS impervious_fraction,spatial blocks,unweighted,927,13.8508,0.1318,14.1234,0.0973,no
gisa+nesdc,OLS impervious_fraction,spatial blocks,by sounding count,927,7.5386,0.0635,7.6441,0.0371,no
gisa+nesdc,constant (global mean) [rice sample],leave-one-province-out,unweighted,532,10.8862,0.0,10.9219,-0.0066,no
gisa+nesdc,constant (global mean) [rice sample],leave-one-province-out,by sounding count,532,4.6236,0.0,5.3036,-0.3157,no
gisa+nesdc,constant (global mean) [rice sample],spatial blocks,unweighted,532,10.8862,0.0,11.0712,-0.0343,no
gisa+nesdc,constant (global mean) [rice sample],spatial blocks,by sounding count,532,4.6236,0.0,4.8327,-0.0925,no
gisa+nesdc,constant (per province) [rice sample],leave-one-province-out,unweighted,532,10.8371,0.009,10.9219,-0.0066,no
gisa+nesdc,constant (per province) [rice sample],leave-one-province-out,by sounding count,532,4.2211,0.1665,5.3036,-0.3157,no
gisa+nesdc,constant (per province) [rice sample],spatial blocks,unweighted,532,10.8371,0.009,11.2086,-0.0601,no
gisa+nesdc,constant (per province) [rice sample],spatial blocks,by sounding count,532,4.2211,0.1665,4.5394,0.0361,no
gisa+nesdc,spatial null (queen neighbour mean) [rice sample],leave-one-province-out,unweighted,532,9.4591,0.245,10.9334,-0.0087,no
gisa+nesdc,spatial null (queen neighbour mean) [rice sample],leave-one-province-out,by sounding count,532,2.7288,0.6517,5.2694,-0.2988,no
gisa+nesdc,spatial null (queen neighbour mean) [rice sample],spatial blocks,unweighted,532,9.4591,0.245,10.9845,-0.0181,no
gisa+nesdc,spatial null (queen neighbour mean) [rice sample],spatial blocks,by sounding count,532,2.7288,0.6517,4.3958,0.0961,no
gisa+nesdc,OLS impervious_fraction [rice sample],leave-one-province-out,unweighted,532,10.622,0.048,11.0936,-0.0385,no
gisa+nesdc,OLS impervious_fraction [rice sample],leave-one-province-out,by sounding count,532,4.5585,0.028,5.7559,-0.5497,no
gisa+nesdc,OLS impervious_fraction [rice sample],spatial blocks,unweighted,532,10.622,0.048,10.7906,0.0175,yes
gisa+nesdc,OLS impervious_fraction [rice sample],spatial blocks,by sounding count,532,4.5585,0.028,4.7871,-0.072,no
gisa+nesdc,OLS rice_fraction_single,leave-one-province-out,unweighted,532,10.8301,0.0103,11.2248,-0.0632,no
gisa+nesdc,OLS rice_fraction_single,leave-one-province-out,by sounding count,532,4.6056,0.0078,5.4978,-0.4139,no
gisa+nesdc,OLS rice_fraction_single,spatial blocks,unweighted,532,10.8301,0.0103,11.0624,-0.0326,no
gisa+nesdc,OLS rice_fraction_single,spatial blocks,by sounding count,532,4.6056,0.0078,4.8324,-0.0923,no
gisa+nesdc,OLS rice_fraction_combined,leave-one-province-out,unweighted,532,10.8323,0.0099,11.1763,-0.054,no
gisa+nesdc,OLS rice_fraction_combined,leave-one-province-out,by sounding count,532,4.6084,0.0066,5.4816,-0.4055,no
gisa+nesdc,OLS rice_fraction_combined,spatial blocks,unweighted,532,10.8323,0.0099,11.0663,-0.0334,no
gisa+nesdc,OLS rice_fraction_combined,spatial blocks,by sounding count,532,4.6084,0.0066,4.8326,-0.0924,no
gisa+nesdc,OLS impervious_fraction + rice_fraction_single,leave-one-province-out,unweighted,532,10.55,0.0608,11.4445,-0.1052,no
gisa+nesdc,OLS impervious_fraction + rice_fraction_single,leave-one-province-out,by sounding count,532,4.5548,0.0296,6.195,-0.7952,no
gisa+nesdc,OLS impervious_fraction + rice_fraction_single,spatial blocks,unweighted,532,10.55,0.0608,10.7754,0.0203,yes
gisa+nesdc,OLS impervious_fraction + rice_fraction_single,spatial blocks,by sounding count,532,4.5548,0.0296,4.8355,-0.0937,no
gisa+nesdc,OLS impervious_fraction + rice_fraction_single + interaction,leave-one-province-out,unweighted,532,10.473,0.0745,11.3752,-0.0919,no
gisa+nesdc,OLS impervious_fraction + rice_fraction_single + interaction,leave-one-province-out,by sounding count,532,4.4459,0.0754,6.3924,-0.9114,no
gisa+nesdc,OLS impervious_fraction + rice_fraction_single + interaction,spatial blocks,unweighted,532,10.473,0.0745,10.7298,0.0285,yes
gisa+nesdc,OLS impervious_fraction + rice_fraction_single + interaction,spatial blocks,by sounding count,532,4.4459,0.0754,4.7431,-0.0523,no
gisa+nesdc,"OLS trend surface (lat, lon)",leave-one-province-out,unweighted,927,12.7108,0.2689,16.7426,-0.2685,no
gisa+nesdc,"OLS trend surface (lat, lon)",leave-one-province-out,by sounding count,927,6.5876,0.2849,8.0958,-0.0801,no
gisa+nesdc,"OLS trend surface (lat, lon)",spatial blocks,unweighted,927,12.7108,0.2689,12.9453,0.2416,no
