centre_lat,centre_lon,sounding_count,ch4_blended_ppb
31.0750,122.1750,11,1841.22
31.0750,122.4250,12,1836.23
30.8250,114.9250,176,1877.81
30.8250,115.1750,100,1878.53
30.8250,115.4250,45,1879.22
30.8250,115.6750,35,1880.46
30.8250,115.9250,0,
30.8250,116.1750,0,
30.8250,116.4250,2,1875.48
30.8250,116.6750,119,1878.89
30.8250,116.9250,145,1880.00
30.8250,117.1750,26,1889.70
30.8250,117.4250,42,1881.55
30.8250,117.6750,65,1886.81
30.8250,117.9250,118,1880.71
30.8250,118.1750,169,1882.10
30.8250,118.4250,189,1884.81
30.8250,118.6750,151,1884.69
30.8250,118.9250,150,1879.54
30.8250,119.1750,135,1878.75
30.8250,119.4250,90,1882.10
30.8250,119.6750,153,1882.61
30.8250,119.9250,100,1884.99
30.8250,120.1750,92,1885.97
30.8250,120.4250,103,1889.91
30.8250,120.6750,110,1885.74
30.8250,120.9250,111,1887.04
30.8250,121.1750,117,1883.55
30.8250,121.4250,34,1885.63
30.8250,121.6750,10,1878.10
30.8250,121.9250,0,
30.8250,122.1750,4,1842.00
30.8250,122.4250,6,1838.42
30.5750,114.9250,89,1882.68
30.5750,115.1750,196,1877.79
30.5750,115.4250,147,1877.40
30.5750,115.6750,32,1879.44
30.5750,115.9250,4,1863.39
30.5750,116.1750,8,1868.03
30.5750,116.4250,124,1882.38
30.5750,116.6750,262,1880.27
30.5750,116.9250,131,1881.11
30.5750,117.1750,9,1873.75
30.5750,117.4250,77,1893.50
30.5750,117.6750,49,1894.67
30.5750,117.9250,52,1881.59
30.5750,118.1750,31,1876.13
30.5750,118.4250,38,1879.12
30.5750,118.6750,7,1876.84
30.5750,118.9250,97,1879.83
30.5750,119.1750,61,1875.41
30.5750,119.4250,39,1878.12
30.5750,119.6750,57,1878.67
30.5750,119.9250,57,1881.37
30.5750,120.1750,107,1882.65
30.5750,120.4250,119,1887.97
30.5750,120.6750,102,1892.33
30.5750,120.9250,60,1885.16
30.5750,121.1750,2,1892.95
30.5750,121.4250,10,1849.01
30.5750,121.6750,5,1900.29
30.5750,121.9250,3,1875.31
30.5750,122.1750,1,1936.00
30.5750,122.4250,1,1842.73
30.3250,114.9250,38,1887.91
30.3250,115.1750,77,1880.88
30.3250,115.4250,172,1880.34
30.3250,115.6750,67,1876.59
30.3250,115.9250,18,1878.43
30.3250,116.1750,136,1882.08
30.3250,116.4250,162,1881.91
